lottery,date,jackpot,cash_value,match_5_bonus_winners,match_5_bonus_prize,match_5_bonus_multiplier_winners,match_5_bonus_multiplier_prize,match_5_winners,match_5_prize,match_5_multiplier_winners,match_5_multiplier_prize,match_4_bonus_winners,match_4_bonus_prize,match_4_bonus_multiplier_winners,match_4_bonus_multiplier_prize,match_4_winners,match_4_prize,match_4_multiplier_winners,match_4_multiplier_prize,match_3_bonus_winners,match_3_bonus_prize,match_3_bonus_multiplier_winners,match_3_bonus_multiplier_prize,match_3_winners,match_3_prize,match_3_multiplier_winners,match_3_multiplier_prize,match_2_bonus_winners,match_2_bonus_prize,match_2_bonus_multiplier_winners,match_2_bonus_multiplier_prize,match_1_bonus_winners,match_1_bonus_prize,match_1_bonus_multiplier_winners,match_1_bonus_multiplier_prize,match_0_bonus_winners,match_0_bonus_prize,match_0_bonus_multiplier_winners,match_0_bonus_multiplier_prize
megamillions,2010-02-02,$12 Million,$7.4 Million,,,,,3,250000,0,1,,,,,1574,150,69,600,,,,,29910,10,1538,40,,,,,,,,,,,,
megamillions,2010-02-05,$20 Million,$12.4 Million,,,,,2,250000,0,1,,,,,1197,150,84,600,,,,,21855,10,1100,40,,,,,,,,,,,,
megamillions,2010-02-09,$32 Million,$20.0 Million,,,,,4,250000,1,1,,,,,1348,150,62,600,,,,,26238,10,1356,40,,,,,,,,,,,,
megamillions,2010-02-12,$44 Million,$27.2 Million,,,,,2,250000,0,1,,,,,1287,150,69,600,,,,,27645,10,1536,40,,,,,,,,,,,,
megamillions,2010-02-16,$56 Million,$34.5 Million,,,,,5,250000,0,1,,,,,1645,150,97,450,,,,,33567,10,1781,30,,,,,,,,,,,,
megamillions,2010-02-19,$68 Million,$41.6 Million,,,,,5,250000,0,1,,,,,1507,150,70,600,,,,,27729,10,1370,40,,,,,,,,,,,,
megamillions,2010-02-23,$83 Million,$50.9 Million,,,,,12,250000,0,1,,,,,1547,150,73,600,,,,,29516,10,1413,40,,,,,,,,,,,,
megamillions,2010-02-26,$99 Million,$61.6 Million,,,,,3,250000,0,1,,,,,1721,150,80,450,,,,,30667,10,1391,30,,,,,,,,,,,,
megamillions,2010-03-02,$112 Million,$69.6 Million,,,,,8,250000,1,1,,,,,1878,150,89,450,,,,,41286,10,1764,30,,,,,,,,,,,,
megamillions,2010-03-05,$133 Million,$82.5 Million,,,,,7,250000,1,1,,,,,2269,150,99,600,,,,,42055,10,1765,40,,,,,,,,,,,,
megamillions,2010-03-09,$12 Million,$7.4 Million,,,,,7,250000,1,1,,,,,1545,150,82,300,,,,,24399,10,1364,20,,,,,,,,,,,,
megamillions,2010-03-12,$20 Million,$12.3 Million,,,,,3,250000,0,1,,,,,1176,150,63,450,,,,,21325,10,1058,30,,,,,,,,,,,,
megamillions,2010-03-16,$12 Million,$7.5 Million,,,,,5,250000,0,1,,,,,948,150,38,600,,,,,20958,10,1100,40,,,,,,,,,,,,
megamillions,2010-03-19,$20 Million,$12.4 Million,,,,,6,250000,0,1,,,,,1127,150,61,600,,,,,22126,10,1125,40,,,,,,,,,,,,
megamillions,2010-03-23,$29 Million,$18.0 Million,,,,,8,250000,0,1,,,,,1266,150,58,600,,,,,26463,10,1454,40,,,,,,,,,,,,
megamillions,2010-03-26,$40 Million,$24.4 Million,,,,,3,250000,1,1,,,,,1176,150,48,600,,,,,23028,10,1130,40,,,,,,,,,,,,
megamillions,2010-03-30,$51 Million,$31.1 Million,,,,,4,250000,0,1,,,,,1458,150,70,450,,,,,22308,10,1125,30,,,,,,,,,,,,
megamillions,2010-04-02,$63 Million,$38.0 Million,,,,,4,250000,1,1,,,,,1774,150,88,600,,,,,30968,10,1564,40,,,,,,,,,,,,
