date,error
2014-11-14,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2015-05-08,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2015-10-30,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2016-04-22,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2016-10-14,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2017-04-07,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2017-09-29,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2018-03-23,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2018-09-14,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2019-03-08,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2019-08-30,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2020-02-21,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2020-08-14,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2021-02-05,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2021-07-30,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2022-01-21,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2022-07-15,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2023-01-06,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2023-06-30,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2023-12-22,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2024-06-14,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2024-12-06,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2025-05-30,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
