lottery,date,jackpot,cash_value,match_5_bonus_winners,match_5_bonus_prize,match_5_bonus_multiplier_winners,match_5_bonus_multiplier_prize,match_5_winners,match_5_prize,match_5_multiplier_winners,match_5_multiplier_prize,match_4_bonus_winners,match_4_bonus_prize,match_4_bonus_multiplier_winners,match_4_bonus_multiplier_prize,match_4_winners,match_4_prize,match_4_multiplier_winners,match_4_multiplier_prize,match_3_bonus_winners,match_3_bonus_prize,match_3_bonus_multiplier_winners,match_3_bonus_multiplier_prize,match_3_winners,match_3_prize,match_3_multiplier_winners,match_3_multiplier_prize,match_2_bonus_winners,match_2_bonus_prize,match_2_bonus_multiplier_winners,match_2_bonus_multiplier_prize,match_1_bonus_winners,match_1_bonus_prize,match_1_bonus_multiplier_winners,match_1_bonus_multiplier_prize,match_0_bonus_winners,match_0_bonus_prize,match_0_bonus_multiplier_winners,match_0_bonus_multiplier_prize
powerball,1992-04-22,6 Million,N/A,,,,,3,100000,,,,,,,467,100,,,,,,,20434,5,,,,,,,,,,,,,,
powerball,1992-04-25,2 Million,N/A,,,,,2,100000,,,,,,,558,100,,,,,,,24470,5,,,,,,,,,,,,,,
powerball,1992-04-29,4 Million,N/A,,,,,0,100000,,,,,,,557,100,,,,,,,23739,5,,,,,,,,,,,,,,
powerball,1992-05-02,6 Million,N/A,,,,,1,100000,,,,,,,2565,100,,,,,,,24630,5,,,,,,,,,,,,,,
powerball,1992-05-06,8 Million,N/A,,,,,2,100000,,,,,,,559,100,,,,,,,19524,5,,,,,,,,,,,,,,
powerball,1992-05-09,10 Million,N/A,,,,,6,100000,,,,,,,879,100,,,,,,,33645,5,,,,,,,,,,,,,,
powerball,1992-05-13,13 Million,N/A,,,,,7,100000,,,,,,,2336,100,,,,,,,30645,5,,,,,,,,,,,,,,
powerball,1992-05-16,2 Million,N/A,,,,,4,100000,,,,,,,710,100,,,,,,,25016,5,,,,,,,,,,,,,,
powerball,1992-05-20,4 Million,N/A,,,,,1,100000,,,,,,,565,100,,,,,,,21004,5,,,,,,,,,,,,,,
powerball,1992-05-23,6 Million,N/A,,,,,3,100000,,,,,,,441,100,,,,,,,19281,5,,,,,,,,,,,,,,
powerball,1992-05-27,7 Million,N/A,,,,,1,100000,,,,,,,372,100,,,,,,,15582,5,,,,,,,,,,,,,,
powerball,1992-05-30,2 Million,N/A,,,,,4,100000,,,,,,,552,100,,,,,,,21297,5,,,,,,,,,,,,,,
powerball,1992-06-03,4 Million,N/A,,,,,2,100000,,,,,,,609,100,,,,,,,22175,5,,,,,,,,,,,,,,
powerball,1992-06-06,5 Million,N/A,,,,,4,100000,,,,,,,751,100,,,,,,,28052,5,,,,,,,,,,,,,,
powerball,1992-06-10,7 Million,N/A,,,,,1,100000,,,,,,,528,100,,,,,,,20329,5,,,,,,,,,,,,,,
powerball,1992-06-13,9 Million,N/A,,,,,1,100000,,,,,,,608,100,,,,,,,23268,5,,,,,,,,,,,,,,
powerball,1992-06-17,11 Million,N/A,,,,,5,100000,,,,,,,675,100,,,,,,,24189,5,,,,,,,,,,,,,,
powerball,1992-06-20,2 Million,N/A,,,,,10,100000,,,,,,,924,100,,,,,,,26737,5,,,,,,,,,,,,,,
powerball,1992-06-24,3 Million,N/A,,,,,3,100000,,,,,,,393,100,,,,,,,15418,5,,,,,,,,,,,,,,
powerball,1992-06-27,5 Million,N/A,,,,,3,100000,,,,,,,487,100,,,,,,,19798,5,,,,,,,,,,,,,,
powerball,1992-07-01,6 Million,N/A,,,,,2,100000,,,,,,,380,100,,,,,,,16070,5,,,,,,,,,,,,,,
powerball,1992-07-04,2 Million,N/A,,,,,4,100000,,,,,,,448,100,,,,,,,19358,5,,,,,,,,,,,,,,
powerball,1992-07-08,2 Million,N/A,,,,,0,100000,,,,,,,313,100,,,,,,,12814,5,,,,,,,,,,,,,,
powerball,1992-07-11,4 Million,N/A,,,,,0,100000,,,,,,,477,100,,,,,,,19397,5,,,,,,,,,,,,,,
