date,error
1992-10-10,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1993-04-03,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1993-09-25,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1994-03-19,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1994-09-10,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1995-03-04,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1995-08-26,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1996-02-17,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1996-08-10,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1997-02-01,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1997-07-26,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1998-01-17,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1998-07-11,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1999-01-02,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1999-06-26,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
1999-12-18,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2000-06-10,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2000-12-02,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2001-05-26,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2001-11-17,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2002-05-11,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2002-11-02,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2003-04-26,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2003-10-18,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2004-04-10,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2004-10-02,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2005-03-26,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2005-09-17,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2006-03-11,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2006-09-02,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2007-02-24,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2007-08-18,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2008-02-09,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2008-08-02,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2009-01-24,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2009-07-18,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2010-01-09,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2010-07-03,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2010-12-25,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2011-06-18,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2011-12-10,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2012-06-02,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2012-11-24,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2013-05-18,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2013-11-09,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2014-05-03,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
